text,sentiment
"The battery life on this phone is absolutely amazing, it lasts two full days!",positive
"Terrible customer service. I waited 45 minutes and nobody helped me.",negative
"The movie was okay, nothing special but not bad either.",neutral
"I love this product! Best purchase I've made all year :)",positive
"Completely broken after one week. Total waste of money.",negative
"Not sure how I feel about the new update... some things are better, some worse.",neutral
"Outstanding performance. The team delivered beyond expectations.",positive
"Horrible experience. Would not recommend to anyone.",negative
"The food was decent. Nothing extraordinary but fills you up.",neutral
"This is the best book I have read in years. Absolutely brilliant!",positive
"The app crashes constantly. It's unusable.",negative
"Pretty average. You get what you pay for.",neutral
"Fantastic service! They went above and beyond to help me.",positive
"I've never been so disappointed. This is a disaster.",negative
"It's fine. Does what it says on the box.",neutral
"Incredible quality. Worth every penny :D",positive
"Awful smell, poor packaging, arrived damaged. 1 star.",negative
"The course was informative but a bit too long.",neutral
"Absolutely love it! Can't imagine life without it now.",positive
"Nothing works as advertised. Complete scam.",negative
"The hotel was clean and the staff were polite. Standard experience.",neutral
"Best coffee shop in the city. The espresso is out of this world!",positive
"Rude staff, cold food, dirty tables. Never coming back.",negative
"It works. Not exciting, but reliable.",neutral
"Mind-blowing performance. This laptop is a beast!",positive
